Title,URL ,day
"""팔짱 낀 김정숙 여사 외교 결례""? 진실은..",https://news.v.daum.net/v/20190701213837629,1
독이 된 황교안의 '가벼운 입',https://news.v.daum.net/v/20190701060005135,1
밀착 보좌' 현송월..지켜보는 김여정,https://news.v.daum.net/v/20190701064400698,1
"합참 ""중부전선 DMZ서 레이더에 정체불명 항적 포착""",https://news.v.daum.net/v/20190701153206574,1
"'김영철 후임' 北장금철, 판문점회동 참석한 듯..남측에 '첫선'",https://news.v.daum.net/v/20190701091305239,1
공군부대서 '부사관 난투극'..육군에선 '엽기적 가혹행위',https://news.v.daum.net/v/20190701215325778,1
"조국 민정수석, 법무부 장관 임명..찬성 46% vs 반대 45%",https://news.v.daum.net/v/20190701150004829,1
文대통령 국정 지지율 47.6% 소폭 상승..민주 41.5%-한국 30.6%,https://news.v.daum.net/v/20190701080002837,1
"공화당 ""반드시 광화문 돌아간다..경찰에 천막 보호요청""",https://news.v.daum.net/v/20190701165404342,1
"황교안, '아들 KT특혜채용 의혹'에 ""고발 자체가 문제될 것""",https://news.v.daum.net/v/20190701110237349,1
"콜센터 67명 '정규직' 약속 지킨 이재명 ""첫 사례, 더 많이 전환되야""",https://news.v.daum.net/v/20190701185100401,1
"新 북풍 트라우마..한국당, 총선 전략수정 불가피",https://news.v.daum.net/v/20190701112702712,1
제3지대'서 새판 짜기 나선 개혁보수,https://news.v.daum.net/v/20190701100104346,1
"황교안 ""文대통령, 北美회담 참석 못한 것 아쉬워""",https://news.v.daum.net/v/20190701093815335,1
"나경원 ""운전자·중재자 자처한 文대통령, 客으로 전락""",https://news.v.daum.net/v/20190701095020826,1
"靑, 민경욱 '사드반대 브로치' 지적에 ""청록색 나비모양일뿐""",https://news.v.daum.net/v/20190701122722419,1
"與에 뿔난 정의당 ""앞으로 돕는일 없다""..범진보진영 역풍 우려",https://news.v.daum.net/v/20190701101700124,1
"차명진 ""판문점 회동 의미있다고?..오늘 황교안 대표 지지철회""",https://news.v.daum.net/v/20190701143108314,1
"손학규 ""역사적 회동에도 씁쓸..文대통령, 역할도 존재도 없어""",https://news.v.daum.net/v/20190701093215053,1
"김정숙 여사 '파란 브로치' 지적에 靑 ""청록 나비 모양일 뿐""",https://news.v.daum.net/v/20190701163202232,1
"""가만있을 순 없다""던 외교부, 확전 자제하는 까닭",https://news.v.daum.net/v/20190701201505579,1
"경찰, '달창' 발언 나경원 원내대표 각하 의견으로 검찰 송치",https://news.v.daum.net/v/20190701212558489,1
"이재명호 1년' 여론조사..경기도민 60% ""잘했다""",https://news.v.daum.net/v/20190701103143835,1
"""日, 韓 급소 노렸다""..삼성 반도체 임원회의서 나온 장탄식",https://news.v.daum.net/v/20190701153738879,1
"日, 반도체 소재 등 3개 품목 對韓 수출규제 발표",https://news.v.daum.net/v/20190701104820620,1
"통상분쟁으로 번진 외교갈등..정부, 日수출규제에 '강대강' 응수",https://news.v.daum.net/v/20190701172840891,1
"日, 외교문제로 끝내 경제보복까지..한일갈등 전방위 확산하나",https://news.v.daum.net/v/20190701115807462,1
"""문 대통령 외교적 고립"" 주장한 日 언론 '남북미 판문점 회동'에 머쓱",https://news.v.daum.net/v/20190701133720180,1
"정부 ""日 對韓수출 제한땐 WTO 제소 검토"".. 업계 ""대비해 왔다""",https://news.v.daum.net/v/20190701030238839,1
日 보복의 역설?..삼성·SK 국산화로 脫일본 가속화,https://news.v.daum.net/v/20190701130034162,1
"김문수 ""文대통령, 대변인 축에도 끼지못하는 개평꾼""",https://news.v.daum.net/v/20190702180519363,2
"나경원 ""민주당·바른미래당과 긴급 한일의회교류 추진하겠다""",https://news.v.daum.net/v/20190702094204871,2
북미 새시대' 언급 文대통령..'사실상 종전선언' 성사 인식,https://news.v.daum.net/v/20190702115653895,2
"북한 어선 삼척항 들어온 다음날, 우리 軍 3250명 골프 쳤다",https://news.v.daum.net/v/20190702164548380,2
닭갈비 저녁식사' 김경수 댓글조작 항소심 반전되나,https://news.v.daum.net/v/20190702154431929,2
"한국당, 김제동 고액강연료 논란 공익감사청구",https://news.v.daum.net/v/20190702152133529,2
"야3당 ""민주, 한국당 떼쓰기에 굴복..선거제 개혁 물거품"" 우려",https://news.v.daum.net/v/20190702120835255,2
"심상정 ""굴욕적 해고"" 이인영 ""난감""..파열음 민주·정의 속내는",https://news.v.daum.net/v/20190702162519557,2
"문 대통령 ""북미, 적대종식·평화시대 시작 선언""",https://news.v.daum.net/v/20190702121158311,2
"""일본차, 불매하자"" 열받은 韓소비자, 난처한 업계",https://auto.v.daum.net/v/20190702172216830,2
"""日보복카드만 100개..수차례 경고, 文정부 무반응""",https://news.v.daum.net/v/20190702173422278,2
